Index,compound_id,protein_id,Activity %,Ki (nM),pKi
44,CHEMBL10,P28482,94.70328858,7943.28234724283,5.1
45,CHEMBL10,P29317,94.76215245,6309.57344480194,5.2
46,CHEMBL10,P29376,100.8189562,2511.88643150958,5.6
47,CHEMBL10,P29597,101.5636994,1995.26231496888,5.7
48,CHEMBL10,P30530,100.5022059,1995.26231496888,5.7
49,CHEMBL10,P31749,102.3773222,7943.28234724283,5.1
50,CHEMBL10,P31751,96.78114274,7943.28234724283,5.1
51,CHEMBL10,P34947,104.2890819,3981.07170553497,5.4
52,CHEMBL10,P35916,119.198388,6309.57344480194,5.2
53,CHEMBL10,P35968,99.2343843,2511.88643150958,5.6
54,CHEMBL10,P36507,99.86612231,3981.07170553497,5.4
55,CHEMBL10,P36888,91.50798892,2511.88643150958,5.6
56,CHEMBL10,P42679,95.58679259,1995.26231496888,5.7
57,CHEMBL10,P42685,87.24770402,251.188643150958,6.6
58,CHEMBL10,P43405,97.9996758,1584.89319246112,5.8
59,CHEMBL10,P45983,96.08807097,1258.92541179417,5.9
60,CHEMBL10,P45984,100.3996582,199.526231496888,6.7
61,CHEMBL10,P49137,98.27975208,7943.28234724283,5.1
62,CHEMBL10,P49760,107.6367288,3981.07170553497,5.4
63,CHEMBL10,P49840,94.13259531,3981.07170553497,5.4
64,CHEMBL10,P49841,80.23658194,1584.89319246112,5.8
65,CHEMBL10,P50613,96.83344796,3981.07170553497,5.4
66,CHEMBL10,P50750,91.20208214,1584.89319246112,5.8
67,CHEMBL10,P51451,101.6642088,1584.89319246112,5.8
68,CHEMBL10,P51617,129.3638125,7943.28234724283,5.1
69,CHEMBL10,P51812,95.69423087,3981.07170553497,5.4
70,CHEMBL10,P51817,99.32449538,3162.27766016838,5.5
71,CHEMBL10,P51955,104.9687905,6309.57344480194,5.2
72,CHEMBL10,P51957,98.2274023,6309.57344480194,5.2
73,CHEMBL10,P52333,93.85267106,5011.87233627273,5.3
74,CHEMBL10,P53350,100.4560993,7943.28234724283,5.1
75,CHEMBL10,P53667,91.31564498,6309.57344480194,5.2
76,CHEMBL10,P53779,113.9297299,25.1188643150958,7.6
77,CHEMBL10,P78368,95.654186,7943.28234724283,5.1
78,CHEMBL10,Q00535,93.93239927,3162.27766016838,5.5
79,CHEMBL10,Q02750,94.75514502,3162.27766016838,5.5
80,CHEMBL10,Q02779,103.8343605,3162.27766016838,5.5
81,CHEMBL10,Q04771,97.43604037,3981.07170553497,5.4
82,CHEMBL10,Q04912,100.9838905,3981.07170553497,5.4
83,CHEMBL10,Q05397,95.51733833,6309.57344480194,5.2
84,CHEMBL10,Q06187,97.23071829,6309.57344480194,5.2
85,CHEMBL10,Q06418,96.98780544,3162.27766016838,5.5
86,CHEMBL10,Q07912,82.11261252,3981.07170553497,5.4
87,CHEMBL10,Q08881,97.01683016,1584.89319246112,5.8
88,CHEMBL10,Q12851,105.7756895,2511.88643150958,5.6
89,CHEMBL10,Q13153,99.17434172,10000,5
90,CHEMBL10,Q13464,101.6535866,3981.07170553497,5.4
91,CHEMBL10,Q13554,97.58285354,7943.28234724283,5.1
92,CHEMBL10,Q13555,82.15751308,6309.57344480194,5.2
93,CHEMBL10,Q13557,102.5931251,6309.57344480194,5.2
94,CHEMBL10,Q13882,54.21484536,2511.88643150958,5.6
95,CHEMBL10,Q14164,98.0364998,3162.27766016838,5.5
96,CHEMBL10,Q14289,92.52908096,1584.89319246112,5.8
97,CHEMBL10,Q14680,101.5587965,1995.26231496888,5.7
98,CHEMBL10,Q15303,66.83072587,3981.07170553497,5.4
99,CHEMBL10,Q16288,97.96791803,2511.88643150958,5.6
100,CHEMBL10,Q16513,95.80877362,7943.28234724283,5.1
101,CHEMBL10,Q16539,68.91758778,19.9526231496888,7.7
102,CHEMBL10,Q16620,103.9486852,3981.07170553497,5.4
103,CHEMBL10,Q16644,101.0424658,10000,5
104,CHEMBL10,Q5S007,100.2968878,2511.88643150958,5.6
105,CHEMBL10,Q5VT25,104.5478573,10000,5
106,CHEMBL10,Q7KZI7,99.08424567,7943.28234724283,5.1
107,CHEMBL10,Q7L7X3,97.9128116,5011.87233627273,5.3
108,CHEMBL10,Q86V86,98.09389966,7943.28234724283,5.1
109,CHEMBL10,Q8IU85,104.6641271,2511.88643150958,5.6
110,CHEMBL10,Q8IW41,92.54000341,1584.89319246112,5.8
111,CHEMBL10,Q8N4C8,107.0008497,2511.88643150958,5.6
112,CHEMBL10,Q8NE63,93.48522414,7943.28234724283,5.1
113,CHEMBL10,Q8TDC3,97.85804168,10000,5
114,CHEMBL10,Q96KB5,101.9454802,10000,5
115,CHEMBL10,Q96L34,98.46178428,5011.87233627273,5.3
116,CHEMBL10,Q96PF2,95.70752453,1584.89319246112,5.8
117,CHEMBL10,Q96RR4,110.4381109,2511.88643150958,5.6
118,CHEMBL10,Q96SB4,99.52926462,7943.28234724283,5.1
119,CHEMBL10,Q9BXA7,108.3702577,1584.89319246112,5.8
120,CHEMBL10,Q9BZL6,95.80149176,6309.57344480194,5.2
121,CHEMBL10,Q9H0K1,82.13773704,1000,6
122,CHEMBL10,Q9H2G2,94.07320794,1995.26231496888,5.7
123,CHEMBL10,Q9H2X6,101.8562637,3162.27766016838,5.5
124,CHEMBL10,Q9H3Y6,101.8452086,1584.89319246112,5.8
125,CHEMBL10,Q9H4B4,97.25999058,7943.28234724283,5.1
126,CHEMBL10,Q9HAZ1,98.71582606,2511.88643150958,5.6
127,CHEMBL10,Q9HBH9,94.42176401,10000,5
128,CHEMBL10,Q9NR20,99.19543738,7943.28234724283,5.1
129,CHEMBL10,Q9NWZ3,129.6099912,10000,5
130,CHEMBL10,Q9NYL2,100.3470681,7943.28234724283,5.1
131,CHEMBL10,Q9P1W9,104.067368,1584.89319246112,5.8
132,CHEMBL10,Q9UEE5,98.94629054,3981.07170553497,5.4
133,CHEMBL10,Q9UHD2,99.67113987,3162.27766016838,5.5
134,CHEMBL10,Q9UM73,104.7647713,6309.57344480194,5.2
135,CHEMBL10,Q9UQM7,100.7716047,3981.07170553497,5.4
136,CHEMBL10,Q9Y243,101.5534915,10000,5
137,CHEMBL10,Q9Y463,104.04445,2511.88643150958,5.6
138,CHEMBL10,Q9Y4K4,99.89430534,7943.28234724283,5.1
139,CHEMBL10,Q9Y6E0,98.95162359,5011.87233627273,5.3
140,CHEMBL1076555,O95819,95.38651205,1000,6
141,CHEMBL1076555,P49137,100.2530286,7943.28234724283,5.1
142,CHEMBL1076555,Q86V86,113.997263,3162.27766016838,5.5
143,CHEMBL1076555,Q8N4C8,102.5564117,2511.88643150958,5.6
144,CHEMBL1090090,O94806,98.08659593,2511.88643150958,5.6
145,CHEMBL1090090,Q13464,107.8070015,2511.88643150958,5.6
146,CHEMBL1090090,Q9BZL6,81.83755437,5011.87233627273,5.3
147,CHEMBL124660,O00141,122.9888719,7943.28234724283,5.1
148,CHEMBL124660,O14757,108.0605687,6309.57344480194,5.2
149,CHEMBL124660,O14920,97.27470144,3162.27766016838,5.5
150,CHEMBL124660,O15111,98.25968371,3981.07170553497,5.4
151,CHEMBL124660,O15264,107.2148469,7943.28234724283,5.1
152,CHEMBL124660,O15530,96.79408962,3981.07170553497,5.4
153,CHEMBL124660,O43293,101.2996856,3162.27766016838,5.5
154,CHEMBL124660,O60674,100.7884397,1995.26231496888,5.7
155,CHEMBL124660,O75116,90.77885488,6309.57344480194,5.2
156,CHEMBL124660,O94806,105.3843529,3981.07170553497,5.4
157,CHEMBL124660,O95819,97.586710205,5011.87233627273,5.3
158,CHEMBL124660,O96013,102.8988341,5011.87233627273,5.3
159,CHEMBL124660,O96017,100.1712574,10000,5
160,CHEMBL124660,P00519,103.9923579,2511.88643150958,5.6
161,CHEMBL124660,P00533,97.62804228,1995.26231496888,5.7
162,CHEMBL124660,P04626,104.2090874,1584.89319246112,5.8
163,CHEMBL124660,P04629,48.05445223,5011.87233627273,5.3
164,CHEMBL124660,P05129,90.94825607,7943.28234724283,5.1
165,CHEMBL124660,P06239,87.06723372,3981.07170553497,5.4
166,CHEMBL124660,P06241,94.83075311,3162.27766016838,5.5
167,CHEMBL124660,P06493,96.575934245,7943.28234724283,5.1
168,CHEMBL124660,P07333,32.6199766,199.526231496888,6.7
169,CHEMBL124660,P07948,95.63086816,1584.89319246112,5.8
170,CHEMBL124660,P07949,91.54332097,2511.88643150958,5.6
171,CHEMBL124660,P08069,97.73951253,1995.26231496888,5.7
172,CHEMBL124660,P08631,93.17554506,3162.27766016838,5.5
173,CHEMBL124660,P08922,90.05545346,3162.27766016838,5.5
174,CHEMBL124660,P09619,34.37134231,50.1187233627273,7.3
175,CHEMBL124660,P11309,97.81403873,6309.57344480194,5.2
176,CHEMBL124660,P11362,101.1547532,3981.07170553497,5.4
177,CHEMBL124660,P16234,11.05931654,63.0957344480193,7.2
178,CHEMBL124660,P17252,108.6757697,3162.27766016838,5.5
179,CHEMBL124660,P17948,99.41624258,2511.88643150958,5.6
180,CHEMBL124660,P22607,93.24266069,1995.26231496888,5.7
181,CHEMBL124660,P23443,102.3626465,6309.57344480194,5.2
182,CHEMBL124660,P24941,95.015955745,7943.28234724283,5.1
183,CHEMBL124660,P27448,102.7986842,6309.57344480194,5.2
184,CHEMBL124660,P28482,87.04036976,7943.28234724283,5.1
185,CHEMBL124660,P29317,101.5068255,7943.28234724283,5.1
186,CHEMBL124660,P29376,100.9526024,2511.88643150958,5.6
187,CHEMBL124660,P29597,97.8516601,1995.26231496888,5.7
188,CHEMBL124660,P31749,102.4142872,7943.28234724283,5.1
189,CHEMBL124660,P31751,97.90997811,7943.28234724283,5.1
190,CHEMBL124660,P34947,106.2663489,3981.07170553497,5.4
191,CHEMBL124660,P35916,94.6385158,3162.27766016838,5.5
192,CHEMBL124660,P35968,106.071411,3162.27766016838,5.5
193,CHEMBL124660,P36507,115.8314174,3981.07170553497,5.4
194,CHEMBL124660,P36888,31.5597444,794.328234724283,6.1
195,CHEMBL124660,P45983,104.9321226,3981.07170553497,5.4
196,CHEMBL124660,P45984,103.1962111,3981.07170553497,5.4
197,CHEMBL124660,P49137,100.2656811,7943.28234724283,5.1
198,CHEMBL124660,P49760,80.66454802,3981.07170553497,5.4
199,CHEMBL124660,P49840,105.1059499,6309.57344480194,5.2
200,CHEMBL124660,P49841,98.13902153,5011.87233627273,5.3
201,CHEMBL124660,P50613,108.5734639,3981.07170553497,5.4
202,CHEMBL124660,P50750,103.72713405,1584.89319246112,5.8
203,CHEMBL124660,P51451,100.0962916,1584.89319246112,5.8
204,CHEMBL124660,P51812,96.64970104,5011.87233627273,5.3
205,CHEMBL124660,P51817,107.5065832,3162.27766016838,5.5
206,CHEMBL124660,P51955,101.4110979,6309.57344480194,5.2
207,CHEMBL124660,P52333,99.76182704,3981.07170553497,5.4
208,CHEMBL124660,P53350,101.1119706,7943.28234724283,5.1
209,CHEMBL124660,P53667,88.61805762,3162.27766016838,5.5
210,CHEMBL124660,P53779,94.57447621,3162.27766016838,5.5
211,CHEMBL124660,Q00535,101.75508282,6309.57344480194,5.2
212,CHEMBL124660,Q02750,113.0124966,3162.27766016838,5.5
213,CHEMBL124660,Q02779,101.3794668,3162.27766016838,5.5
214,CHEMBL124660,Q04771,144.6587806,1584.89319246112,5.8
215,CHEMBL124660,Q04912,99.2286537,3981.07170553497,5.4
216,CHEMBL124660,Q05397,100.9766516,6309.57344480194,5.2
217,CHEMBL124660,Q06187,102.2749241,6309.57344480194,5.2
218,CHEMBL124660,Q06418,101.3665641,3162.27766016838,5.5
219,CHEMBL124660,Q07912,92.68727846,3981.07170553497,5.4
220,CHEMBL124660,Q08881,99.01991218,1258.92541179417,5.9
221,CHEMBL124660,Q12851,104.1509743,2511.88643150958,5.6
222,CHEMBL124660,Q13153,107.1188105,10000,5
223,CHEMBL124660,Q13464,102.0368216,5011.87233627273,5.3
224,CHEMBL124660,Q14164,96.18721814,3162.27766016838,5.5
225,CHEMBL124660,Q14680,87.88384274,1995.26231496888,5.7
226,CHEMBL124660,Q15303,97.25391708,3981.07170553497,5.4
227,CHEMBL124660,Q16288,39.67066271,3162.27766016838,5.5
228,CHEMBL124660,Q16539,104.7098513,3981.07170553497,5.4
229,CHEMBL124660,Q16620,81.71171024,3162.27766016838,5.5
230,CHEMBL124660,Q16644,102.6422512,10000,5
231,CHEMBL124660,Q5S007,123.3741698,2511.88643150958,5.6
232,CHEMBL124660,Q5VT25,100.4089276,10000,5
233,CHEMBL124660,Q7KZI7,109.4276949,7943.28234724283,5.1
234,CHEMBL124660,Q7L7X3,102.7806342,5011.87233627273,5.3
235,CHEMBL124660,Q8IU85,109.7177555,2511.88643150958,5.6
236,CHEMBL124660,Q96L34,98.68109661,5011.87233627273,5.3
237,CHEMBL124660,Q96RR4,101.2825548,2511.88643150958,5.6
238,CHEMBL124660,Q9BZL6,96.40773145,10000,5
239,CHEMBL124660,Q9H0K1,98.90012702,3981.07170553497,5.4
240,CHEMBL124660,Q9H4B4,99.30920165,7943.28234724283,5.1
241,CHEMBL124660,Q9HAZ1,88.70504202,398.107170553497,6.4
242,CHEMBL124660,Q9NWZ3,95.97228288,10000,5
243,CHEMBL124660,Q9P1W9,112.7561068,1584.89319246112,5.8
244,CHEMBL124660,Q9UHD2,97.15446001,3162.27766016838,5.5
245,CHEMBL124660,Q9UM73,103.3388517,6309.57344480194,5.2
246,CHEMBL124660,Q9UQM7,100.9777824,5011.87233627273,5.3
247,CHEMBL124660,Q9Y243,106.133872,10000,5
248,CHEMBL124660,Q9Y463,97.90171558,2511.88643150958,5.6
249,CHEMBL124660,Q9Y6E0,101.5821986,6309.57344480194,5.2
250,CHEMBL1336,O00141,95.18127065,7943.28234724283,5.1
251,CHEMBL1336,O14757,173.0382866,6309.57344480194,5.2
252,CHEMBL1336,O14920,88.34578995,3162.27766016838,5.5
253,CHEMBL1336,O15111,99.82170112,3981.07170553497,5.4
254,CHEMBL1336,O15264,91.40706464,7943.28234724283,5.1
255,CHEMBL1336,O15530,95.76670257,3981.07170553497,5.4
256,CHEMBL1336,O43293,92.86734966,3162.27766016838,5.5
257,CHEMBL1336,O43781,92.68450117,1995.26231496888,5.7
258,CHEMBL1336,O60674,98.15618704,2511.88643150958,5.6
259,CHEMBL1336,O75116,100.8145535,5011.87233627273,5.3
260,CHEMBL1336,O75582,102.4644336,1995.26231496888,5.7
261,CHEMBL1336,O94806,90.87335083,6309.57344480194,5.2
262,CHEMBL1336,O95819,96.249075635,3162.27766016838,5.5
263,CHEMBL1336,O96013,91.84640221,5011.87233627273,5.3
264,CHEMBL1336,O96017,101.7517503,5011.87233627273,5.3
265,CHEMBL1336,P00519,90.43380622,158.489319246112,6.8
266,CHEMBL1336,P00533,95.09040941,1995.26231496888,5.7
267,CHEMBL1336,P04626,102.731244,1584.89319246112,5.8
268,CHEMBL1336,P04629,76.09127553,1584.89319246112,5.8
269,CHEMBL1336,P05129,94.70047248,7943.28234724283,5.1
270,CHEMBL1336,P06239,81.24162926,1995.26231496888,5.7
271,CHEMBL1336,P06241,91.64235142,3162.27766016838,5.5
272,CHEMBL1336,P06493,99.367114225,7943.28234724283,5.1
273,CHEMBL1336,P07333,5.554356816,158.489319246112,6.8
274,CHEMBL1336,P07948,88.12806378,398.107170553497,6.4
275,CHEMBL1336,P07949,1.782287899,100,7
276,CHEMBL1336,P08069,94.27528942,1995.26231496888,5.7
277,CHEMBL1336,P08631,90.33034875,3162.27766016838,5.5
278,CHEMBL1336,P08922,95.66590375,3162.27766016838,5.5
279,CHEMBL1336,P09619,12.03411167,3.98107170553497,8.4
280,CHEMBL1336,P11309,97.05027259,6309.57344480194,5.2
281,CHEMBL1336,P11362,90.93014723,2511.88643150958,5.6
282,CHEMBL1336,P15735,91.25832592,5011.87233627273,5.3
283,CHEMBL1336,P16234,7.772557332,1000,6
284,CHEMBL1336,P17252,96.83590376,2511.88643150958,5.6
285,CHEMBL1336,P17948,50.49146128,316.227766016838,6.5
286,CHEMBL1336,P22607,89.45907651,1258.92541179417,5.9
287,CHEMBL1336,P23443,102.6219437,398.107170553497,6.4
288,CHEMBL1336,P24941,98.943514305,7943.28234724283,5.1
289,CHEMBL1336,P27448,102.957562,5011.87233627273,5.3
290,CHEMBL1336,P28482,101.0169137,7943.28234724283,5.1
291,CHEMBL1336,P29317,83.84996394,794.328234724283,6.1
292,CHEMBL1336,P29376,99.91227885,2511.88643150958,5.6
293,CHEMBL1336,P29597,98.92375107,1995.26231496888,5.7
294,CHEMBL1336,P30530,105.4128731,158.489319246112,6.8
295,CHEMBL1336,P31749,96.16853952,7943.28234724283,5.1
296,CHEMBL1336,P31751,102.648283,7943.28234724283,5.1
297,CHEMBL1336,P34947,97.83475873,3981.07170553497,5.4
298,CHEMBL1336,P35916,42.95505094,100,7
299,CHEMBL1336,P35968,36.92711642,39.8107170553497,7.4
300,CHEMBL1336,P36507,89.67753525,3981.07170553497,5.4
301,CHEMBL1336,P36888,9.216235574,794.328234724283,6.1
302,CHEMBL1336,P45983,92.80309089,3981.07170553497,5.4
303,CHEMBL1336,P45984,94.84558209,3981.07170553497,5.4
304,CHEMBL1336,P49137,100.3644354,7943.28234724283,5.1
305,CHEMBL1336,P49760,92.75030771,3981.07170553497,5.4
306,CHEMBL1336,P49840,102.5431677,5011.87233627273,5.3
307,CHEMBL1336,P49841,100.7539046,3162.27766016838,5.5
308,CHEMBL1336,P50613,102.274215,3981.07170553497,5.4
309,CHEMBL1336,P50750,99.629065575,1584.89319246112,5.8
310,CHEMBL1336,P51451,99.07630671,794.328234724283,6.1
311,CHEMBL1336,P51617,100.9497478,7943.28234724283,5.1
312,CHEMBL1336,P51812,100.1860021,3981.07170553497,5.4
313,CHEMBL1336,P51817,97.68117256,3162.27766016838,5.5
314,CHEMBL1336,P51955,99.33914119,6309.57344480194,5.2
315,CHEMBL1336,P51957,99.4698958,6309.57344480194,5.2
316,CHEMBL1336,P52333,99.36474825,5011.87233627273,5.3
317,CHEMBL1336,P53350,98.08256753,7943.28234724283,5.1
318,CHEMBL1336,P53667,76.75455597,630.957344480193,6.2
319,CHEMBL1336,P53779,94.17866378,3162.27766016838,5.5
320,CHEMBL1336,P78368,88.89789583,7943.28234724283,5.1
321,CHEMBL1336,Q00535,98.554800915,3981.07170553497,5.4
322,CHEMBL1336,Q02750,102.4630773,3162.27766016838,5.5
323,CHEMBL1336,Q02779,104.419569,3162.27766016838,5.5
324,CHEMBL1336,Q04771,98.73056422,3981.07170553497,5.4
325,CHEMBL1336,Q04912,97.59563944,3981.07170553497,5.4
326,CHEMBL1336,Q05397,102.2697481,6309.57344480194,5.2
327,CHEMBL1336,Q06187,101.6034223,6309.57344480194,5.2
328,CHEMBL1336,Q06418,91.72748277,3162.27766016838,5.5
329,CHEMBL1336,Q07912,97.60216691,3981.07170553497,5.4
330,CHEMBL1336,Q08881,105.6574858,1584.89319246112,5.8
331,CHEMBL1336,Q12851,107.519995,5011.87233627273,5.3
332,CHEMBL1336,Q13153,107.8445176,10000,5
333,CHEMBL1336,Q13464,101.931666,3162.27766016838,5.5
334,CHEMBL1336,Q13554,96.65864041,3981.07170553497,5.4
335,CHEMBL1336,Q13555,107.8223441,6309.57344480194,5.2
336,CHEMBL1336,Q13557,102.222035,6309.57344480194,5.2
337,CHEMBL1336,Q14164,89.82974071,3162.27766016838,5.5
338,CHEMBL1336,Q14289,101.1351849,1584.89319246112,5.8
339,CHEMBL1336,Q14680,93.59808437,1995.26231496888,5.7
340,CHEMBL1336,Q15303,94.84582301,3981.07170553497,5.4
341,CHEMBL1336,Q16288,65.54321868,398.107170553497,6.4
342,CHEMBL1336,Q16513,94.18835075,7943.28234724283,5.1
343,CHEMBL1336,Q16539,46.87606203,15.8489319246111,7.8
344,CHEMBL1336,Q16620,89.96507808,630.957344480193,6.2
345,CHEMBL1336,Q16644,100.2233717,10000,5
346,CHEMBL1336,Q5S007,106.3869766,2511.88643150958,5.6
347,CHEMBL1336,Q5VT25,102.315834,10000,5
348,CHEMBL1336,Q7KZI7,94.86069782,7943.28234724283,5.1
349,CHEMBL1336,Q7L7X3,82.04272204,398.107170553497,6.4
350,CHEMBL1336,Q8IU85,103.0944914,2511.88643150958,5.6
351,CHEMBL1336,Q8IW41,95.77224788,1584.89319246112,5.8
352,CHEMBL1336,Q8N4C8,108.4584255,1584.89319246112,5.8
353,CHEMBL1336,Q8NE63,4.854669023,10,8
354,CHEMBL1336,Q8TDC3,95.82465494,10000,5
355,CHEMBL1336,Q96KB5,97.47322123,10000,5
356,CHEMBL1336,Q96L34,98.0574085,5011.87233627273,5.3
357,CHEMBL1336,Q96PF2,101.9030509,1584.89319246112,5.8
358,CHEMBL1336,Q96RG2,99.51505768,1584.89319246112,5.8
359,CHEMBL1336,Q96RR4,103.4015251,2511.88643150958,5.6
360,CHEMBL1336,Q96SB4,98.63019595,5011.87233627273,5.3
361,CHEMBL1336,Q9BXA7,98.73267837,1584.89319246112,5.8
362,CHEMBL1336,Q9BZL6,96.15190485,10000,5
363,CHEMBL1336,Q9H0K1,101.6505376,3981.07170553497,5.4
364,CHEMBL1336,Q9H2G2,96.84168755,1584.89319246112,5.8
365,CHEMBL1336,Q9H2X6,87.82911985,501.187233627273,6.3
366,CHEMBL1336,Q9H4B4,99.30237324,7943.28234724283,5.1
367,CHEMBL1336,Q9HAZ1,95.24192708,3162.27766016838,5.5
368,CHEMBL1336,Q9HBH9,70.26946247,316.227766016838,6.5
369,CHEMBL1336,Q9NWZ3,99.58486287,10000,5
370,CHEMBL1336,Q9NYL2,16.69358702,15.8489319246111,7.8
371,CHEMBL1336,Q9P1W9,102.6216234,1584.89319246112,5.8
372,CHEMBL1336,Q9UHD2,98.5962433,3162.27766016838,5.5
373,CHEMBL1336,Q9UM73,97.26549193,6309.57344480194,5.2
374,CHEMBL1336,Q9UQM7,95.33073202,3981.07170553497,5.4
375,CHEMBL1336,Q9Y243,94.21877959,10000,5
376,CHEMBL1336,Q9Y463,93.1715715,2511.88643150958,5.6
377,CHEMBL1336,Q9Y4K4,96.10923822,316.227766016838,6.5
378,CHEMBL1336,Q9Y6E0,110.035188,6309.57344480194,5.2
379,CHEMBL1421,O00141,131.9278754,7943.28234724283,5.1
380,CHEMBL1421,O14757,95.988431,6309.57344480194,5.2
381,CHEMBL1421,O14920,94.03066441,3162.27766016838,5.5
382,CHEMBL1421,O15111,95.04760245,3981.07170553497,5.4
383,CHEMBL1421,O15264,102.4148649,7943.28234724283,5.1
384,CHEMBL1421,O15530,94.1255144,3981.07170553497,5.4
385,CHEMBL1421,O43293,106.9573753,2511.88643150958,5.6
386,CHEMBL1421,O43781,108.7419525,1258.92541179417,5.9
387,CHEMBL1421,O60674,98.10054057,1258.92541179417,5.9
388,CHEMBL1421,O75116,90.06392173,6309.57344480194,5.2
389,CHEMBL1421,O75582,100.6075729,1995.26231496888,5.7
390,CHEMBL1421,O94806,104.3973485,3981.07170553497,5.4
391,CHEMBL1421,O95819,73.345818295,3162.27766016838,5.5
392,CHEMBL1421,O96013,98.71026381,5011.87233627273,5.3
393,CHEMBL1421,O96017,103.1901043,5011.87233627273,5.3
394,CHEMBL1421,P00533,21.08105024,1000,6
395,CHEMBL1421,P04626,79.84943364,158.489319246112,6.8
396,CHEMBL1421,P04629,97.19432954,2511.88643150958,5.6
397,CHEMBL1421,P05129,86.18893437,7943.28234724283,5.1
398,CHEMBL1421,P06493,95.06345103,7943.28234724283,5.1
399,CHEMBL1421,P07332,110.1369202,1995.26231496888,5.7
400,CHEMBL1421,P07333,0.770079839,6.30957344480194,8.2
401,CHEMBL1421,P07949,45.98879057,1000,6
402,CHEMBL1421,P08069,97.48060492,1995.26231496888,5.7
403,CHEMBL1421,P08631,0.786829411,0.316227766016838,9.5
404,CHEMBL1421,P08922,88.87560588,2511.88643150958,5.6
405,CHEMBL1421,P09619,2.484577319,1.25892541179417,8.9
406,CHEMBL1421,P11309,102.1720377,6309.57344480194,5.2
407,CHEMBL1421,P11362,88.45304888,1995.26231496888,5.7
408,CHEMBL1421,P15735,101.2099606,5011.87233627273,5.3
409,CHEMBL1421,P16234,1.820201061,10,8
410,CHEMBL1421,P16591,95.86033431,1584.89319246112,5.8
411,CHEMBL1421,P17252,103.0083851,3981.07170553497,5.4
412,CHEMBL1421,P17948,97.29337801,1995.26231496888,5.7
413,CHEMBL1421,P22607,86.16888954,1258.92541179417,5.9
414,CHEMBL1421,P23443,101.4653702,6309.57344480194,5.2
415,CHEMBL1421,P24941,94.181392845,7943.28234724283,5.1
416,CHEMBL1421,P27448,97.78161838,5011.87233627273,5.3
417,CHEMBL1421,P28482,93.25208767,7943.28234724283,5.1
418,CHEMBL1421,P29317,6.817508732,3.98107170553497,8.4
419,CHEMBL1421,P29376,97.74518175,2511.88643150958,5.6
420,CHEMBL1421,P29597,95.56450721,1995.26231496888,5.7
421,CHEMBL1421,P30530,61.36490606,1995.26231496888,5.7
422,CHEMBL1421,P31749,96.6970648,7943.28234724283,5.1
